median_income,house_age,avg_rooms,avg_bedrooms,population,latitude,longitude,price,spatial_cluster
5.993428306022466,30,3.2002104167306022,1.8714034776967845,2242,41.11235415447693,-118.23560141357213,3.003375126493508,4
4.72347139765763,31,4.56161717683424,1.1932920736737571,3998,41.33135868406219,-115.25913287472562,1.1463262148198974,3
6.295377076201385,38,5.2296529894014885,2.458284090322151,2172,36.97575144154136,-116.78978960697248,2.38284452719679,5
8.046059712816051,11,6.527235871473128,3.028635932497005,1395,32.06495015999256,-117.57115985008748,4.595293110023576,7
4.531693250553328,35,5.021366246020568,1.563102689379405,1038,33.09782953670405,-118.3487732901695,1.0628066614533194,7
4.531726086101639,8,2.635472436650846,2.4813401174431498,861,37.73027960231722,-116.77029475557023,2.0191828927755484,5
8.158425631014783,3,5.530321794798015,1.5790031101191997,4849,32.23776702301886,-119.8034615732899,4.39437874813506,7
6.534869458305818,14,4.61610415749537,2.0663939075385325,1769,35.96911923986696,-123.03423419294336,3.1689263178021525,6
4.061051228130096,13,7.0556145409758,2.7540061368948883,3962,35.033699455720125,-123.6001387120216,1.7866426043985069,6
6.085120087171929,45,7.144186703066012,1.7397805073039443,2785,39.143482754022045,-119.20976268390828,2.4210065514522765,4
4.073164614375076,32,7.19668146840095,1.9926567928040635,3999,32.55578672947935,-118.0070841777986,2.324792617354647,7
4.068540492859486,34,4.157618096940081,1.0992485017459617,2031,36.88731268977288,-123.21150969429377,2.5841707515133723,6
5.483924543132068,45,7.984782610006336,1.6678978280268844,4039,37.791142698756055,-121.13096451087898,2.508234873363467,2
1.1734395106844042,19,5.52641375734356,1.0468638389996472,1226,38.17291076052618,-120.77967794024514,-0.296081358848043,2
1.5501643349739345,38,7.439570608502949,2.214589059937499,3397,36.05157672016941,-118.37204464791748,0.8732403668925593,2
3.8754249415180544,16,4.24607057925236,2.4158187794757886,4770,35.04367783429551,-121.2151754395721,1.6056277714064302,6
2.9743377593311524,2,4.55210489358556,1.8891825567145977,1303,38.82493033737149,-123.04351400443991,1.2895179429049055,0
5.628494665190548,40,5.411041029008128,2.1429434836283963,4235,40.47569048102495,-122.3514325905345,1.943464909783505,0
3.1839518489575784,17,5.22781641442091,1.8371347723747764,3872,38.93617637782879,-122.26052198395809,1.2022626420099392,0
2.175392597329417,34,6.882217915203754,2.3702726829372183,619,41.321023654572215,-115.5730505577724,0.3595442887961607,3
